Wave Data provided @ 12:45hrs on 27-06-2023,,,,,,,,,,,,,
Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction, Current Speed, Current Direction
Caloundra,54,1687183200,2023-06-20T00:00:00,-26.84662,153.15486,0.311,0.52,10,5.797,20.9,81.6,-99.9,-99.9
Caloundra,54,1687185000,2023-06-20T00:30:00,-26.84637,153.15495,0.304,0.44,14.29,5.333,20.85,104.1,-99.9,-99.9
Caloundra,54,1687186800,2023-06-20T01:00:00,-26.84631,153.15501,0.299,0.5,10,6.061,20.85,70.3,-99.9,-99.9
Caloundra,54,1687188600,2023-06-20T01:30:00,-26.84628,153.15504,0.281,0.41,14.29,6.667,20.9,95.6,-99.9,-99.9
Caloundra,54,1687190400,2023-06-20T02:00:00,-26.84627,153.15506,0.316,0.61,11.76,6.897,20.95,98.4,-99.9,-99.9
Caloundra,54,1687192200,2023-06-20T02:30:00,-26.84626,153.1551,0.328,0.51,11.76,6.557,20.95,87.2,-99.9,-99.9
Caloundra,54,1687194000,2023-06-20T03:00:00,-26.84626,153.15506,0.311,0.49,14.29,6.667,21.05,97,-99.9,-99.9
Caloundra,54,1687195800,2023-06-20T03:30:00,-26.84626,153.15504,0.307,0.52,11.76,6.667,21,84.4,-99.9,-99.9
Caloundra,54,1687197600,2023-06-20T04:00:00,-26.84625,153.15499,0.308,0.5,14.29,7.547,20.95,91.4,-99.9,-99.9
Caloundra,54,1687199400,2023-06-20T04:30:00,-26.84626,153.15501,0.281,0.56,14.29,7.547,20.85,90,-99.9,-99.9
Caloundra,54,1687201200,2023-06-20T05:00:00,-26.84626,153.15501,0.288,0.51,14.29,7.143,20.8,84.4,-99.9,-99.9
Caloundra,54,1687203000,2023-06-20T05:30:00,-26.84627,153.15501,0.291,0.51,14.29,6.897,20.65,87.2,-99.9,-99.9
Caloundra,54,1687204800,2023-06-20T06:00:00,-26.84628,153.15499,0.31,0.52,11.76,5.556,20.45,77.3,-99.9,-99.9
Caloundra,54,1687206600,2023-06-20T06:30:00,-26.84631,153.15499,0.304,0.49,14.29,6.897,20.35,91.4,-99.9,-99.9
Caloundra,54,1687208400,2023-06-20T07:00:00,-26.84633,153.15497,0.281,0.46,14.29,7.018,20.4,90,-99.9,-99.9
Caloundra,54,1687210200,2023-06-20T07:30:00,-26.84643,153.15489,0.261,0.46,14.29,6.349,20.45,95.6,-99.9,-99.9
Caloundra,54,1687235400,2023-06-20T14:30:00,-26.84627,153.15504,0.283,0.48,14.29,5.263,20.75,85.8,-99.9,-99.9
Caloundra,54,1687237200,2023-06-20T15:00:00,-26.84627,153.15501,0.262,0.47,13.33,5.063,20.65,94.2,-99.9,-99.9
Caloundra,54,1687239000,2023-06-20T15:30:00,-26.84627,153.15501,0.288,0.51,11.11,5.063,20.6,83,-99.9,-99.9
Caloundra,54,1687240800,2023-06-20T16:00:00,-26.84627,153.15501,0.286,0.46,14.29,5.634,20.8,94.2,-99.9,-99.9
Caloundra,54,1687242600,2023-06-20T16:30:00,-26.84628,153.15499,0.323,0.49,13.33,6.897,20.75,85.8,-99.9,-99.9
Caloundra,54,1687244400,2023-06-20T17:00:00,-26.84628,153.15497,0.301,0.46,13.33,7.273,20.6,94.2,-99.9,-99.9
Caloundra,54,1687246200,2023-06-20T17:30:00,-26.84631,153.15495,0.281,0.52,13.33,7.143,20.5,94.2,-99.9,-99.9
Caloundra,54,1687248000,2023-06-20T18:00:00,-26.84633,153.15491,0.265,0.44,13.33,7.018,20.4,97,-99.9,-99.9
Caloundra,54,1687249800,2023-06-20T18:30:00,-26.84641,153.15482,0.278,0.52,14.29,6.154,20.35,98.4,-99.9,-99.9
Caloundra,54,1687251600,2023-06-20T19:00:00,-26.84672,153.15471,0.268,0.45,14.29,3.774,20.4,101.3,-99.9,-99.9
Caloundra,54,1687253400,2023-06-20T19:30:00,-26.84705,153.15461,0.267,0.48,13.33,4.124,20.55,105.5,-99.9,-99.9
Caloundra,54,1687255200,2023-06-20T20:00:00,-26.8471,153.15463,0.263,0.48,13.33,4.255,20.8,101.3,-99.9,-99.9
Caloundra,54,1687258800,2023-06-20T21:00:00,-26.84713,153.15467,0.288,0.55,13.33,4.211,20.9,105.5,-99.9,-99.9
Caloundra,54,1687260600,2023-06-20T21:30:00,-26.84711,153.15463,0.329,0.69,10,3.774,20.9,104.1,-99.9,-99.9
Caloundra,54,1687262400,2023-06-20T22:00:00,-26.8471,153.15463,0.352,0.64,13.33,3.419,20.95,135,-99.9,-99.9
Caloundra,54,1687264200,2023-06-20T22:30:00,-26.84708,153.15461,0.384,0.63,12.5,3.252,20.9,101.3,-99.9,-99.9
Caloundra,54,1687266000,2023-06-20T23:00:00,-26.84699,153.15454,0.415,0.8,11.76,3.2,20.95,78.8,-99.9,-99.9
Caloundra,54,1687267800,2023-06-20T23:30:00,-26.84685,153.15448,0.43,0.73,13.33,3.306,20.95,70.3,-99.9,-99.9
Caloundra,54,1687269600,2023-06-21T00:00:00,-26.84661,153.15452,0.468,0.71,14.29,3.175,20.95,98.4,-99.9,-99.9
Caloundra,54,1687271400,2023-06-21T00:30:00,-26.8464,153.15469,0.491,0.77,3.23,3.226,20.95,137.8,-99.9,-99.9
Caloundra,54,1687273200,2023-06-21T01:00:00,-26.84631,153.15489,0.486,0.79,13.33,3.419,20.95,101.3,-99.9,-99.9
Caloundra,54,1687275000,2023-06-21T01:30:00,-26.84628,153.15495,0.487,0.8,3.45,3.419,20.9,130.8,-99.9,-99.9
Caloundra,54,1687276800,2023-06-21T02:00:00,-26.84627,153.15504,0.46,0.81,3.45,3.571,20.85,123.8,-99.9,-99.9
Caloundra,54,1687278600,2023-06-21T02:30:00,-26.84627,153.15508,0.417,0.7,3.57,3.571,20.9,105.5,-99.9,-99.9
